,Location,Times,Tweets
236,Washington,2018-03-01 11:00:00,14
237,Washington,2018-03-01 11:15:00,9
238,Washington,2018-03-01 11:30:00,4
239,Washington,2018-03-01 11:45:00,14
240,Washington,2018-03-01 12:00:00,4
241,Washington,2018-03-01 12:15:00,7
242,Washington,2018-03-01 12:30:00,8
243,Washington,2018-03-01 12:45:00,10
244,Washington,2018-03-01 13:00:00,8
245,Washington,2018-03-01 13:15:00,9
246,Washington,2018-03-01 13:30:00,22
247,Washington,2018-03-01 13:45:00,8
248,Washington,2018-03-01 14:00:00,3
249,Washington,2018-03-01 14:15:00,4
250,Washington,2018-03-01 14:30:00,7
251,Washington,2018-03-01 14:45:00,4
252,Washington,2018-03-01 15:00:00,7
253,Washington,2018-03-01 15:15:00,12
254,Washington,2018-03-01 15:30:00,15
255,Washington,2018-03-01 15:45:00,8
256,Washington,2018-03-01 16:00:00,13
257,Washington,2018-03-01 16:15:00,20
258,Washington,2018-03-01 16:30:00,6
259,Washington,2018-03-01 16:45:00,11
260,Washington,2018-03-01 17:00:00,23
261,Washington,2018-03-01 17:15:00,13
262,Washington,2018-03-01 17:30:00,15
263,Washington,2018-03-01 17:45:00,27
264,Washington,2018-03-01 18:00:00,33
265,Washington,2018-03-01 18:15:00,43
266,Washington,2018-03-01 18:30:00,27
267,Washington,2018-03-01 18:45:00,10
268,Washington,2018-03-01 19:00:00,10
269,Washington,2018-03-01 19:15:00,20
270,Washington,2018-03-01 19:30:00,10
271,Washington,2018-03-01 19:45:00,15
272,Washington,2018-03-01 20:00:00,25
273,Washington,2018-03-01 20:15:00,19
274,Washington,2018-03-01 20:30:00,34
275,Washington,2018-03-01 20:45:00,45
276,Washington,2018-03-01 21:00:00,19
277,Washington,2018-03-01 21:15:00,15
278,Washington,2018-03-01 21:30:00,17
279,Washington,2018-03-01 21:45:00,17
280,Washington,2018-03-01 22:00:00,12
281,Washington,2018-03-01 22:15:00,15
282,Washington,2018-03-01 22:30:00,11
283,Washington,2018-03-01 22:45:00,12
284,Washington,2018-03-01 23:00:00,9
285,Washington,2018-03-01 23:15:00,7
286,Washington,2018-03-01 23:30:00,10
287,Washington,2018-03-01 23:45:00,8
288,Washington,2018-03-02 00:00:00,6
289,Washington,2018-03-02 00:15:00,6
290,Washington,2018-03-02 00:30:00,8
291,Washington,2018-03-02 00:45:00,3
292,Washington,2018-03-02 01:00:00,7
293,Washington,2018-03-02 01:15:00,5
294,Washington,2018-03-02 01:30:00,4
295,Washington,2018-03-02 01:45:00,4
296,Washington,2018-03-02 02:00:00,4
297,Washington,2018-03-02 02:15:00,2
298,Washington,2018-03-02 02:30:00,3
299,Washington,2018-03-02 02:45:00,4
300,Washington,2018-03-02 03:00:00,9
301,Washington,2018-03-02 03:15:00,4
302,Washington,2018-03-02 03:30:00,3
303,Washington,2018-03-02 03:45:00,2
304,Washington,2018-03-02 04:00:00,7
305,Washington,2018-03-02 04:15:00,1
306,Washington,2018-03-02 04:30:00,2
307,Washington,2018-03-02 04:45:00,5
308,Washington,2018-03-02 05:00:00,4
309,Washington,2018-03-02 05:15:00,9
310,Washington,2018-03-02 05:30:00,1
311,Washington,2018-03-02 05:45:00,0
312,Washington,2018-03-02 06:00:00,0
313,Washington,2018-03-02 06:15:00,0
314,Washington,2018-03-02 06:30:00,1
315,Washington,2018-03-02 06:45:00,3
316,Washington,2018-03-02 07:00:00,6
317,Washington,2018-03-02 07:15:00,9
318,Washington,2018-03-02 07:30:00,4
319,Washington,2018-03-02 07:45:00,3
320,Washington,2018-03-02 08:00:00,7
